Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
13,12.0,55,6,HPC5,"PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband",Eni S.p.A.,DELL EMC,Italy,2020,Industry,669760,582400.0,35450.0,51720.76,5750784.0,,860.317,2252.17,Submitted,15.74037484,,Cluster,Xeon Gold 6252 24C 2.1GHz,Intel Cascade lake,2100,CentOS Linux 7,Linux,NVIDIA Tesla V100,24,Xeon Gold 62xx (Cascade Lake),PowerEdge C4140,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,Europe,50489,179856
14,13.0,58,10,Voyager-EUS2,"ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband",Azure East US 2,Microsoft Azure,United States,2021,Vendor,253440,228096.0,30050.0,39531.15,4669056.0,,,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 18.04 LTS,Linux,NVIDIA A100 80GB​,48,AMD Rome,ND96amsr_A100_v4,Microsoft Azure Cluster,Infiniband,Mellanox HDR Infiniband,North America,50897,180024
15,,60,15,Setonix – GPU,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11","Pawsey Supercomputing Centre, Kensington, Western Australia",HPE,Australia,2022,Research,181248,168960.0,27160.0,34996.22,3538944.0,,311.905,476.63,Submitted,56.98340432,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),2000,HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Milan,HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Oceania,50488,180123
16,,60,16,Discovery 5,"HPE Cray EX235n, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",ExxonMobil,HPE,United States,2022,Industry,232000,216000.0,26130.0,30990.8,3136100.0,,,964.0,Submitted,27.10580913,,MPP,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),2800,HPE Cray OS,Linux,NVIDIA A100 SXM4 40 GB,32,AMD Milan,HPE Cray EX235n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,50949,180131
17,14.0,58,12,Polaris,"Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10",DOE/SC/Argonne National Laboratory,HPE,United States,2021,Research,256592,238896.0,25810.0,34163.19,3397536.0,,,,,,,Cluster,AMD EPYC 7532 32C 2.4GHz,AMD Zen-2 (Rome),2400,SLES15 SP2,Linux,NVIDIA A100 SXM4 40 GB,32,AMD Rome,Apollo 6500,HPE Apollo,Gigabit Ethernet,Slingshot-10,North America,47347,180016
18,15.0,58,11,SSC-21,"Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200",Samsung Electronics,HPE,South Korea,2021,Industry,204160,190080.0,25177.0,31751.1,4130000.0,,,,,,,Cluster,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),2800,RHEL 8.3,Linux,NVIDIA A100 80GB​,32,AMD Milan,Apollo 6500 Gen10 plus,HPE Apollo,Infiniband,Infiniband HDR200,Asia,50903,180041
20,17.0,58,14,CEA-HF,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2",Commissariat a l'Energie Atomique (CEA),Atos,France,2021,Research,810240,,23237.6,31761.4,12153600.0,,340.84,4959.47,Submitted,4.685500668,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,Linux,Linux,None,64,AMD Milan,BullSequana XH2000,BullSequana,Custom Interconnect,Atos BXI V2,Europe,47593,180031
21,18.0,56,10,Dammam-7,"Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100",Saudi Aramco,HPE,Saudi Arabia,2020,Industry,672520,632960.0,22400.0,55423.56,5696640.0,,881.401,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),Cray CS-Storm,Cray CS-Storm,Infiniband,InfiniBand HDR 100,Asia,48751,179885
22,19.0,57,12,ABCI 2.0,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",National Institute of Advanced Industrial Science and Technology (AIST),Fujitsu,Japan,2021,Research,504000,451840.0,22208.72,54340.99,3435000.0,,,1600.32,Submitted,13.87767447,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Xeon Gold,PRIMERGY GX2570 M6,Fujitsu PRIMERGY,Infiniband,Infiniband EDR,Asia,50762,179954
25,22.0,58,19,Chervonenkis,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",Yandex,"YANDEX, NVIDIA",Russia,2021,Industry,193440,168480.0,21530.0,29415.17,3926016.0,,,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),2000,Ubuntu 16.04,Linux,NVIDIA A100 80GB​,64,AMD Rome,YANDEX Y4N-GA1-TY25-ZB0,YANDEX Cluster,Infiniband,Infiniband,Europe,50862,180029
