List,Best,Worst,Sum,Count,Q25,Median,Q75,Mean
TOP500_201706A,13554.6,438.841,131295.136,95,557.998,829.805,1210.5,1382.0540631578947
TOP500_201711A,13554.6,557.033,129152.02999999998,76,762.7512499999999,1001.2325000000001,1510.8200000000002,1699.3688157894735
TOP500_201806A,13554.6,715.551,130914.411,64,888.32925,1042.4099999999999,1843.835,2045.537671875
TOP500_201811A,19476.6,894.439,152709.507,58,1019.0,1293.5,2426.3450000000003,2632.9225344827587
TOP500_201906A,23516.4,1022.0,199591.77190000002,59,1244.0,1802.51,3011.77,3382.9113881355934
TOP500_201911A,23516.4,1145.0,217596.7279,57,1632.96,2278.0,4289.85,3817.486454385965
TOP500_202006A,23516.4,1228.0,267665.27,63,1688.77,2483.58,4509.344999999999,4248.6550793650795
TOP500_202011A,23516.4,1337.0,278709.10789999994,66,1730.6750000000002,2608.99,4678.764999999999,4222.86527121212
TOP500_202106A,23516.4,1582.0,360762.3179,73,2271.38,2969.19,5388.52,4941.949560273973
TOP500_202111A,23516.4,1670.09,376593.5379,76,2285.1,3011.77,5425.637500000001,4955.178130263158
TOP500_202206A,46100.0,1670.09,438920.1979000001,86,2278.35,2953.5950000000003,5211.25,5103.72323139535
TOP500_202211A,174700.0,1802.51,626490.9179000001,87,2322.905,3179.0,5320.76,7201.045033333335
TOP500_202306A,238700.0,1884.0,723024.2679000002,94,2442.8999999999996,3186.5,5246.75,7691.747530851066
TOP500_202311A,238700.0,2015.0,828906.5079,99,2489.115,3533.61,5998.530000000001,8372.793009090909
TOP500_202406A,241200.0,2129.92,888825.7779000001,103,2599.99,3578.03,6287.950000000001,8629.37648446602
TOP500_202411A,241200.0,2312.3,1171344.7979,111,3092.46,4518.87,8713.0,10552.655836936936
TOP500_202506A,241200.0,2436.0,1532724.8179000001,120,3326.75,5233.0,10708.025000000001,12772.706815833335
TOP500_202511A,241200.0,2592.0,1705957.8679,124,3654.335,5508.0,11170.0,13757.724741129032
