List,Date,Count,Min_Efficiency,Q25,Median,Q75,Max_Efficiency,Mean_Efficiency,Top_System_Rmax,Top_System_Power,Top_System_Efficiency,Conversion_Applied
TOP500_201306A,201306,56,0.12243200962695547,0.5122520798926201,0.8493449920252649,1.3164514932919842,2.4495677233429394,1.0315109941088856,5168.11,4510.0,1.1459223946784922,True
TOP500_201311A,201311,58,0.18808102564102563,0.5320402831240783,0.8988876261743246,1.858171901661428,3.4181818181818184,1.1485585561912495,5168.11,4510.0,1.1459223946784922,True
TOP500_201406A,201406,58,0.18808102564102563,0.7394669459962756,0.9251412543930793,2.1422277615256387,3.4594594594594597,1.3002168267434038,5168.11,4510.0,1.1459223946784922,True
TOP500_201411A,201411,60,0.18808102564102563,0.7949827336161137,1.2351945306725796,2.1766481136485742,4.272040302267002,1.4630315055225964,5168.11,4510.0,1.1459223946784922,True
TOP500_201506A,201506,77,0.18808102564102563,0.9034714548802948,1.592531707317073,2.176568355477685,4.272040302267002,1.5802457634427542,5536.99,2834.0,1.953772053634439,True
TOP500_201511A,201511,71,0.22349624060150378,0.9358747241163757,1.6870229007633588,2.067644262295082,4.855545200372787,1.6529199391031675,5536.99,2834.0,1.953772053634439,True
TOP500_201606A,201606,61,0.32210714285714287,1.3244666666666667,1.8584392014519053,2.176568355477685,3.3421052631578947,1.7212811937150132,5536.99,2834.0,1.953772053634439,True
TOP500_201611A,201611,86,0.05238970115226465,1.133937863626888,1.7739348714972945,2.1765951428927828,4.985691690881672,1.7267547946778539,13554.6,2718.7,4.985691690881672,True
TOP500_201706A,201706,95,0.05238970115226465,1.1579959195614684,1.9000290377693592,2.225303103182072,14.110169491525424,2.255481112576034,13554.6,2718.7,4.985691690881672,False
TOP500_201711A,201711,67,0.05238970115226465,1.4468175380305548,1.9593824561403508,2.2752256169987977,10.428321678321678,2.595091055034784,13554.6,2718.7,4.985691690881672,False
TOP500_201806A,201806,56,0.05238970115226465,1.6882054201767027,2.0859834076275385,3.585480749353221,11.864801864801866,3.1538075961685728,13554.6,2718.7,4.985691690881672,False
TOP500_201811A,201811,43,0.05238970115226465,1.6434500988048775,2.0679668152550765,4.025885462124965,11.864801864801866,3.1543492426307975,13554.6,2718.7,4.985691690881672,False
TOP500_201906A,201906,37,0.303314606741573,1.953772053634439,2.2489194930774303,4.985691690881672,14.130568925089474,3.9822061612674773,13554.6,2718.7,4.985691690881672,False
TOP500_201911A,201911,32,0.303314606741573,2.058076161535988,3.776840059230108,6.384105701640197,15.771417369143304,5.055881803265331,13554.6,2718.7,4.985691690881672,False
TOP500_202006A,202006,33,0.303314606741573,2.2489194930774303,4.086819943857773,5.843478260869565,16.28456491173254,5.268476140488705,21640.0,1476.0,14.661246612466124,False
TOP500_202011A,202011,33,0.303314606741573,2.995144596651446,4.257503974562797,5.843478260869565,16.28456491173254,5.673396574948427,21640.0,1476.0,14.661246612466124,False
TOP500_202106A,202106,39,1.7445104895104895,3.59137014006467,4.803923179624114,10.565997895292426,29.521308549164992,8.239475929805584,22121.0,1468.0,15.068801089918257,False
TOP500_202111A,202111,39,1.7445104895104895,3.7794810612267193,4.985691690881672,14.865023851192191,30.79719903043361,9.175070727930587,22121.0,1468.0,15.068801089918257,False
TOP500_202206A,202206,47,1.7445104895104895,4.08511736529011,5.0360000000000005,16.06162251086169,50.02821547944611,10.906243706041248,46100.0,921.48,50.02821547944611,False
TOP500_202211A,202211,48,1.7445104895104895,4.2505874964367205,5.218779871367177,21.4987899474987,56.491108071135436,12.98417193741926,174700.0,5610.0,31.140819964349376,False
TOP500_202306A,202306,53,1.7445104895104895,4.481201550387597,5.688557028187418,23.33039453383293,56.491108071135436,15.537595009873016,238700.0,7404.4,32.237588460915134,False
TOP500_202311A,202311,55,1.7445104895104895,4.530866600790514,7.011606176846661,22.924067468626248,56.491108071135436,15.018911522447814,238700.0,7404.4,32.237588460915134,False
TOP500_202406A,202406,60,1.7445104895104895,4.782650580710078,11.637008929203954,27.517863619258726,63.34984625896823,18.749992506049477,241200.0,7493.74,32.186865303573384,False
TOP500_202411A,202411,65,1.7445104895104895,4.995172639502536,18.917529086584818,43.55591194051611,69.09836065573771,24.011403047864132,241200.0,7493.74,32.186865303573384,False
TOP500_202506A,202506,67,1.7445104895104895,5.666438848289054,22.517740403419566,46.40926716912185,69.09836065573771,27.164514660274435,241200.0,7493.74,32.186865303573384,False
TOP500_202511A,202511,69,3.2929040404040406,6.726711941143181,28.16582002902758,48.564634355617656,65.95928973581637,30.209834928000966,241200.0,7493.74,32.186865303573384,False
