Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
108,,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",HLRN at Universitaet Hannover / RRZN,SGI,Germany,2009,Academic,10240,0,107100.0,120729.6,88.71,1535480,0,,,MPP,Xeon X5570 4C 2.93GHz,Intel EM64T,2930,SLES10 + SGI ProPack 5,Linux,None,4,Xeon X55xx (Nehalem-EP),SGI Altix ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
109,,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,Germany,2009,Academic,10240,0,107100.0,120729.6,88.71,1535480,0,,,MPP,Xeon X5570 4C 2.93GHz,Intel EM64T,2930,SLES10 + SGI ProPack 5,Linux,None,4,Xeon X55xx (Nehalem-EP),SGI Altix ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
114,,"Bullx B505, Xeon E5649 6C 2.53GHz, Infiniband QDR, NVIDIA 2090",Barcelona Supercomputing Center,Bull SA,Spain,2011,Academic,5544,4032,103200.0,182881.44,56.43,437760,0,81.5,1266.26,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,NVIDIA 2090,6,Xeon E56xx (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Southern Europe,Europe
115,,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband","Computer Network Information Center, Chinese Academy of Science",Lenovo,China,2008,Academic,12216,0,102800.0,145965.0,70.43,1600000,0,,,Cluster,Xeon E5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Lenovo DeepComp 7000,Lenovo Cluster,Infiniband,Infiniband,Eastern Asia,Asia
118,T2K Open Supercomputer (Todai Combined Cluster),Hitachi opteron QC 2.3 GHz Myrinet 10G,"Information Technology Center, The University of Tokyo",Hitachi,Japan,2009,Academic,15104,0,101741.0,138956.0,73.22,1740800,0,831.0,122.43,Cluster,Opteron Quad Core 4C 2.30GHz,AMD x86_64,2300,Linux,Linux,None,4,Opteron Quad Core,Hitachi Cluster,Hitachi Cluster,Myrinet,Myrinet 10G,Eastern Asia,Asia
121,SKIF Aurora,"SKIF Aurora Platform - Intel Xeon X5680, Infiniband QDR",South Ural State University,RSC SKIF,Russia,2011,Academic,8832,0,100400.0,117000.0,85.81,1042080,0,,,Cluster,Xeon X5680 6C 3.33GHz,Intel Nehalem,3330,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),SKIF Aurora Platform,NOW - Intel,Infiniband,Infiniband QDR,Eastern Europe,Europe
128,Palmetto,"PE1950/SF X2200/iDPx/IBM dx340/HP DL165 Intel 53xx/54xx 2.33, Opteron 2.3, E5410 2.33GHz Myrinet 10G",Clemson University,Dell/Sun/IBM,United States,2011,Academic,13616,0,96920.0,123633.0,78.39,1489400,0,,,Cluster,Xeon E5410 4C 2.33GHz,Intel Core,2333,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Dell/Sun/IBM Cluster,Myrinet,Myrinet 10G,North America,Americas
136,,"Inspur TS10000 HPC Server, Xeon X56xx 2.93 Ghz, QDR Infiniband",Tsinghua University,Inspur,China,2011,Academic,9216,0,92420.0,107299.0,86.13,1729280,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
142,,Cray XE6 8-core 2.3 GHz,University of Alaska - Arctic Region Supercomputing Center,Cray Inc.,United States,2010,Academic,11648,0,88920.0,107161.6,82.98,0,0,,,MPP,Opteron 6134 8C 2.30GHz,AMD x86_64,2300,Linux,Linux,None,8,Opteron 8 Core,Cray XE6,Cray XE,Custom Interconnect,Custom,North America,Americas
151,,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR",iVEC,Hewlett-Packard,Australia,2010,Academic,9600,0,87198.7,107520.0,81.1,0,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
154,CHEOPS,"Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband","University of Cologne, Regional Computing Centre",Bull SA,Germany,2010,Academic,9376,0,85900.0,100171.0,85.75,1446480,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Bullx Blade/Supernode,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
178,KillDevil,"PowerEdge C6100 Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR",University of North Carolina,Dell,United States,2011,Academic,8040,0,79800.0,94228.8,84.69,1800000,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,RedHat Enterprise 5,Linux,None,6,Xeon X56xx (Westmere-EP),PowerEdge C6100 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
181,,"Power 575, p6 4.7 GHz, Infiniband",CINECA,IBM,Italy,2009,Academic,5376,0,78680.0,101068.8,77.85,907199,0,859.0,91.59,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Southern Europe,Europe
185,T2K Open Supercomputer,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband","Center for Computational Sciences, University of Tsukuba",Appro International,Japan,2009,Academic,10368,0,77280.0,95385.0,81.02,1562400,0,671.0,115.17,Cluster,Opteron Quad Core 4C 2.30GHz,AMD x86_64,2300,Redhat Linux,Linux,None,4,Opteron Quad Core,Appro XtremeServers,Appro XtremeServer,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
187,Colosse,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",CLUMEQ - Universit Laval,Sun Microsystems,Canada,2009,Academic,7616,0,77170.0,85299.0,90.47,1160376,0,332.0,232.44,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Sun Blade 6048,Sun Blade System,Infiniband,Infiniband,North America,Americas
189,Orcinus,"Cluster Platform 3000 BL 2x220, Xeon X5650/E5450 4C 3.00 GHz, Infiniband QDR",Compute Canada/WestGrid/University of British Columbia,Hewlett-Packard,Canada,2011,Academic,9600,0,76658.0,106322.0,72.1,0,0,,,Cluster,Xeon E5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,Xeon X54xx (Harpertown),Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
202,,Cray XT5/XT4 QC 2.3 GHz,CSC (Center for Scientific Computing),Cray Inc.,Finland,2009,Academic,10864,0,76510.0,101996.8,75.01,0,0,520.0,147.13,MPP,Opteron Quad Core 4C 2.30GHz,AMD x86_64,2300,CNL,Linux,None,4,Opteron Quad Core,Cray XT5 QuadCore,Cray XT,Proprietary Network,XT4 Internal Interconnect,Northern Europe,Europe
208,Rossmann,"HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G",Purdue University,Hewlett-Packard,United States,2011,Academic,11064,0,75425.8,95961.6,78.6,0,0,,,Cluster,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,None,12,Opteron 12 Core,HP Cluster Platform 4000 DL165 G7 Cluster,HP Cluster Platform 4000,Gigabit Ethernet,10G Ethernet,North America,Americas
209,,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband",University of Minnesota/Supercomputing Institute,Hewlett-Packard,United States,2011,Academic,8568,0,75425.8,95961.6,78.6,0,0,,,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Cluster Platform 3000 BL280c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband,North America,Americas
221,,"Hitachi SR16000 Model XM1/108, Power7 3.3Ghz, Infiniband",Yukawa Institute for Theoretical Physics (YITP),Hitachi,Japan,2011,Academic,3456,0,73350.0,91238.4,80.39,1045440,0,129.6,565.97,MPP,POWER7 8C 3.30GHz,Power,3300,AIX,Unix,None,8,POWER7,Hitachi SR16000 Model XM1/108,Hitachi SR16000,Infiniband,Infiniband,Eastern Asia,Asia
225,,eServer Blue Gene Solution,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,United States,2007,Academic,32768,0,73032.0,91750.0,79.6,884735,0,358.0,204.0,MPP,PowerPC 440 2C 700MHz,Power,700,CNK/SLES 9,Mixed,None,2,PowerPC 440,BlueGene/L,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
228,Magerit,"BladeCenter PS702 Express, Power7 3.3GHz, Infiniband",CeSViMa - Centro de Supercomputacin y Visualizacin de Madrid,IBM,Spain,2011,Academic,3920,0,72030.0,103488.0,69.6,0,0,154.0,467.73,Cluster,POWER7 8C 3.30GHz,Power,3300,Linux,Linux,None,8,POWER7,"BladeCenter PS702 Express, POWER7",IBM BladeCenter,Infiniband,Infiniband,Southern Europe,Europe
229,,"iDataPlex DX360M3, Xeon 2.66, Infiniband",RQCHP/Calcul Quebec/Compute Canada Universit de Montral,IBM,Canada,2011,Academic,7560,0,71557.5,80438.4,88.96,0,0,197.79,361.79,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
230,,"BlueGene/P, PowerPC 450 4C 850 MHz, Proprietary",Rice University,IBM,United States,2011,Academic,24576,0,71440.0,83558.0,85.5,0,0,189.0,377.99,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,North America,Americas
234,Formosa 4,"ASUS ESC4000, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA 2070",National Center for High Performance Computing,Asus,Taiwan,2011,Academic,4752,3696,70430.0,148336.0,47.48,666624,0,91.98,765.71,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon X56xx (Westmere-EP),ASUS ESC4000,Asus Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
235,Dawson2,"HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR","University of California, Los Angeles",Hewlett-Packard,United States,2011,Academic,5184,4032,70280.0,160577.28,43.77,717910,0,96.03,731.85,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2070,6,Xeon X56xx (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
253,Abe,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",NCSA,Dell,United States,2007,Academic,9600,0,68480.0,89587.2,76.44,1008384,0,,,Cluster,Xeon 53xx (Clovertown) 4C 2.33GHz,Intel Core,2333,Linux,Linux,None,4,"Xeon 5300-series ""Clovertown""",PowerEdge 1955,Dell PowerEdge Cluster,Infiniband,Infiniband SDR,North America,Americas
254,Hrothgar,"Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR",Texas Tech University,Dell,United States,2010,Academic,7524,0,68270.0,84538.0,80.76,1270976,0,,,Cluster,Xeon X5660 6C 2.80GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),PowerEdge R410 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband DDR,North America,Americas
259,Trestles,"Appro 1U-1143H Cluster, Opteron 8C 2.4Ghz, Infiniband QDR",UCSD/San Diego Supercomputer Center,Appro International,United States,2010,Academic,10112,0,67320.0,99532.8,67.64,1200000,0,,,Cluster,Opteron 6136 8C 2.40GHz,AMD x86_64,2400,Linux,Linux,None,8,Opteron 8 Core,Appro Opteron Cluster,Appro Cluster,Infiniband,Infiniband QDR,North America,Americas
265,,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2",University of Southampton,IBM,United Kingdom,2009,Academic,8000,0,66680.0,72320.0,92.2,1610000,0,222.0,300.36,Cluster,Xeon E5520 4C 2.27GHz,Intel EM64T,2267,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,Northern Europe,Europe
279,Galera Plus,ACTION Xeon HP BL2x220/BL490 E5345/L5640 Infiniband,"Gdansk University of Technology, CI Task",ACTION,Poland,2011,Academic,10384,0,65588.0,97758.0,67.09,998000,0,,,Cluster,Xeon L5640 6C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,6,Xeon L56xx (Westmere-EP),ACTION Cluster,ACTION Cluster,Infiniband,Infiniband QDR,Eastern Europe,Europe
289,SuperMIG,"BladeCenter HX5, Xeon E7-4870 10C 2.40 GHz, Infiniband QDR",Leibniz Rechenzentrum,IBM,Germany,2011,Academic,8000,0,64860.0,76800.0,84.45,1099224,0,195.0,332.62,Cluster,Xeon E7-4870 10C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,10,Xeon E7-48xx (Westmere-EX),BladeCenter HX5,IBM BladeCenter,Infiniband,Infiniband QDR,Western Europe,Europe
290,Galileu,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",NACAD/COPPE/UFRJ,Sun Microsystems,Brazil,2009,Academic,6464,0,64630.0,72396.8,89.27,1405152,0,430.0,150.3,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Sun Blade 6048,Sun Blade System,Infiniband,Infiniband,South America,Americas
296,Boreas,"Power 775, POWER7 8C 3.84 GHz, Custom","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",IBM,Poland,2011,Academic,2560,0,64327.0,78561.0,81.88,0,0,156.71,410.48,MPP,POWER7 8C 3.83GHz,Power,3830,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom,Eastern Europe,Europe
