Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
238,Columbia University,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, GigE",United States,2008,3712,23856.7,44544.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
246,Moscow State University,IBM,Blue Gene/P Solution,Russia,2008,8192,23415.0,27850.0,651263,0,63.0,Power,PowerPC 450,850,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Eastern Europe,Europe
249,Research Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, Infiniband",Spain,2008,2816,23402.0,30041.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Southern Europe,Europe
253,Universitaet Dortmund,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, Infiniband",Germany,2009,3072,23224.3,36864.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
256,Columbia University,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E54xx 3.0 Ghz, GigE",United States,2009,3584,23045.1,43008.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
259,National Astronomical Observatory of Japan,Cray Inc.,Cray XT4 QuadCore 2.2 GHz,Japan,2008,3248,22930.0,28582.0,824640,0,160.78,AMD x86_64,AMD x86_64 Opteron Quad Core,2200,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Eastern Asia,Asia
267,Nanyang Technological University,IBM,"iDataPlex, Xeon X55xx QC 2.93 GHz, Infiniband",Singapore,2009,2400,22801.0,28128.0,0,0,85.5,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Academic,Research,Infiniband,Infiniband,South-eastern Asia,Asia
269,Caltech,Dell,"PowerEdge 1950, 2.33 GHz, Myrinet",United States,2007,4096,22590.0,37700.0,761392,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
277,National Astronomical Observatory of Japan,Self-made,"GRAPE-DR accelerator Cluster, Infiniband",Japan,2009,8192,21960.0,84480.0,368640,0,51.2,Others,Others GRAPE-DR processor,330,NOW - mixed processors,GRAPE-DR cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
282,Indiana University,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.5 GHz, Myrinet",United States,2007,3072,21790.0,30720.0,758000,0,0.0,Power,PowerPC 970,2500,IBM Cluster,BladeCenter JS21 CLuster,SuSE Linux Enterprise Server 9,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
292,RQCHP/Compute Canada,SGI,"Altix XE320 Cluster, Xeon 2.8Ghz, Infiniband",Canada,2009,2464,21600.0,27596.8,781264,0,115.3,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2800,SGI Cluster,Altix XE320,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
296,Holland Computing Center at PKI,Dell,"PowerEdge SC1435 Dual core Opteron 2.8 GHz, Infiniband",United States,2007,4604,21500.0,25782.4,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2800,Dell PowerEdge Cluster,PowerEdge SC1435,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
332,Cardiff University - ARCCA,Bull SA,"Novascale R422 Cluster, Xeon E5472, 3.00 GHz, Infiniband",United Kingdom,2008,2048,20120.0,24576.0,634880,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,Bull Cluster,NovaScale Cluster 400,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
