Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
82,"Computer Network Information Center, Chinese Academy of Science",Lenovo,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband",China,2008,12216,102800.0,145965.0,1600000,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Lenovo Cluster,Lenovo DeepComp 7000,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
84,"Information Technology Center, The University of Tokyo",Hitachi,Hitachi opteron QC 2.3 GHz Myrinet 10G,Japan,2009,15104,101741.0,138956.0,1740800,0,831.5,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Hitachi Cluster,Hitachi Cluster,Linux,None,Cluster,Academic,Research,Myrinet,Myrinet 10G,Eastern Asia,Asia
87,South Ural State University,Self-made,"SKIF Aurora Platform - Intel Xeon X5680, Infiniband QDR",Russia,2011,8832,100400.0,117000.0,1042080,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),3330,6,NOW - Intel,SKIF Aurora Platform,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Europe,Europe
94,University of Edinburgh,Cray Inc.,"Cray XT4, 2.3 GHz",United Kingdom,2009,12288,95080.0,113050.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4,UNICOS/lc,None,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
96,Clemson University,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2011,12528,92480.0,115258.0,1460200,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Linux,None,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
97,Tsinghua University,Inspur,"Inspur TS10000 HPC Server, Xeon X56xx 2.93 Ghz, QDR Infiniband",China,2011,9216,92420.0,107299.0,1729280,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,Inspur Cluster,Inspur TS10000 HPC Server,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
100,University of Alaska - Arctic Region Supercomputing Center,Cray Inc.,Cray XE6 8-core 2.3 GHz,United States,2010,11648,88920.0,107162.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 8 Core,2300,8,Cray XE,Cray XE6,Linux,None,MPP,Academic,Not Specified,Custom,Custom,North America,Americas
107,iVEC,Hewlett-Packard,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR",Australia,2010,9600,87198.7,107520.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
108,"University of Cologne, Regional Computing Centre",Bull SA,"Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband",Germany,2010,9376,85900.0,100171.0,1446480,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Bull Bullx,Bullx Blade/Supernode,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
116,CINECA,IBM,"Power 575, p6 4.7 GHz, Infiniband",Italy,2009,5376,78680.0,101069.0,907199,0,859.19,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,None,MPP,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
118,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2009,10368,77280.0,95385.0,1562400,0,671.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,None,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
119,CLUMEQ - Université Laval,Oracle,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Canada,2009,7616,77170.0,85299.0,1160376,0,332.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
121,CSC (Center for Scientific Computing),Cray Inc.,Cray XT5/XT4 QC 2.3 GHz,Finland,2009,10864,76510.0,101997.0,0,0,520.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,None,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
124,Purdue University,Hewlett-Packard,"HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G",United States,2011,11064,75425.8,95961.6,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 4000,HP Cluster Platform 4000 DL165 G7 Cluster,Linux,None,Cluster,Academic,Not Specified,Gigabit Ethernet,10G Ethernet,North America,Americas
125,University of Minnesota/Supercomputing Institute,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband",United States,2011,8568,75425.8,95961.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
131,Yukawa Institute for Theoretical Physics (YITP),Hitachi,"Hitachi SR16000 Model XM1/108, Power7 3.3Ghz, Infiniband",Japan,2011,3456,73350.0,91238.4,1045440,0,129.6,Power,POWER7,3300,8,Hitachi SR16000,Hitachi SR16000 Model XM1/108,AIX,None,MPP,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia
134,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768,73032.0,91750.0,884735,0,358.4,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,None,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
136,CeSViMa - Centro de Supercomputación y Visualización de Madrid,IBM,"BladeCenter PS702 Express, Power7 3.3GHz, Infiniband",Spain,2011,3920,72030.0,103488.0,0,0,154.0,Power,POWER7,3300,8,IBM BladeCenter,"BladeCenter PS702 Express, POWER7",Linux,None,Cluster,Academic,Research,Infiniband,Infiniband,Southern Europe,Europe
137,RQCHP/Calcul Quebec/Compute Canada Université de Montréal,IBM,"iDataPlex DX360M3, Xeon 2.66, Infiniband",Canada,2011,7560,71557.5,80438.4,0,0,197.79,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM iDataPlex,iDataPlex DX360M3,Linux,None,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,North America,Americas
