Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
243,Gesellschaft fuer wissenschaftliche Datenverarbeitung,IBM,SP Power3 375 MHz,Germany,2001,224,226.0,336.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe
246,Technische Universitaet Chemnitz,Self-made,CLIC PIII 800 MHz,Germany,2000,530,221.6,424.0,176640,28272,Intel IA-32,Intel IA-32 Pentium 3,800.0,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Fast Ethernet,Fast Ethernet,Western Europe,Europe
248,University of Edinburgh,Cray Inc.,T3E900,United Kingdom,1997,348,218.0,313.2,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,Northern Europe,Europe
259,"Kyoto University, Institute for Chemical Research",SGI,ORIGIN 3000 500 MHz,Japan,2002,256,210.2,256.0,163000,0,MIPS,MIPS R14000,500.0,SGI Origin,IRIX,MPP,Academic,Life Science,NUMAflex,NUMAflex,Eastern Asia,Asia
261,CINECA,Hewlett-Packard,"AlphaServer SC45, 1 GHz",Italy,2002,128,207.0,256.0,0,0,Alpha,Alpha,1000.0,HP AlphaServer SC/GS,Tru64 UNIX,Cluster,Academic,Not Specified,Quadrics,Quadrics,Southern Europe,Europe
263,Universitaet Wien,init.at,Schroedinger I AMD 1.47 GHz,Austria,2001,160,204.5,472.0,138700,44000,AMD,AMD Athlon,1475.0,NOW - AMD,Linux,Cluster,Academic,Not Specified,Fast Ethernet,Fast Ethernet,Western Europe,Europe
264,University of Alaska - ARSC,IBM,SP Power3 375 MHz,United States,2001,200,203.0,300.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
266,Gesellschaft fuer wissenschaftliche Datenverarbeitung,IBM,pSeries 690 1.1GHz GigEth,Germany,2002,96,198.0,422.4,0,0,Power,POWER4,1100.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
269,University of Rochester,IBM,pSeries 690 Turbo 1.3GHz GigEth,United States,2002,80,198.0,416.0,0,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
277,Kyoto University,Sun Microsystems,Fire 15K,Japan,2002,144,197.3,259.2,0,0,Sparc,UltraSPARC III,900.0,Sun Fire,Solaris,Constellations,Academic,Not Specified,Fireplane,Fireplane,Eastern Asia,Asia
357,Universitaet Aachen/RWTH,Sun Microsystems,Fire 6800,Germany,2002,192,186.5,345.6,0,0,Sparc,UltraSPARC III,900.0,Sun Fire,,SMP,Academic,Not Specified,,,Western Europe,Europe
358,Universitaet Aachen/RWTH,Sun Microsystems,Fire 6800,Germany,2002,192,186.5,345.6,0,0,Sparc,UltraSPARC III,900.0,Sun Fire,,SMP,Academic,Not Specified,,,Western Europe,Europe
360,SHARCNET - University of Western Ontario,Hewlett-Packard,Greatwhite ES40 833 MHz Quadrics,Canada,2001,144,185.3,239.9,128000,0,Alpha,Alpha EV68,833.3,NOW - Alpha,Linux,Cluster,Academic,Not Specified,Quadrics,Quadrics,North America,Americas
372,CNRS/IDRIS,IBM,SP Power3 375 MHz,France,2001,176,179.0,264.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Western Europe,Europe
374,Virginia Tech,IBM,Netfinity Cluster PIII 1 GHz - Eth,United States,2002,408,177.0,408.0,0,0,Intel IA-32,Intel IA-32 Pentium 3,1000.0,IBM Cluster,Linux,Cluster,Academic,Not Specified,Ethernet,Ethernet,North America,Americas
376,Cambridge University,IBM,SP Power3 375 MHz,United Kingdom,2001,168,171.0,252.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Northern Europe,Europe
378,Florida State University,IBM,SP Power3 375 MHz,United States,2000,168,171.0,252.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,North America,Americas
379,National Center for High Performance Computing,IBM,SP Power3 375 MHz,Taiwan,2000,168,171.0,252.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Eastern Asia,Asia
383,University of Alaska - ARSC,Cray Inc.,T3E900,United States,1999,268,169.0,241.2,0,0,Alpha,Alpha EV5,450.5,Cray T3E/T3D,UNICOS,MPP,Academic,Not Specified,Cray Interconnect,3-D Torus,North America,Americas
407,SARA/IC3A (Stichting Academisch Rekencentrum),IBM,pSeries 690 Turbo 1.3GHz GigEth,Netherlands,2002,64,161.9,332.8,80000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
408,Texas Advanced Computing Center/Univ. of Texas,IBM,pSeries 690 Turbo 1.3GHz GigEth,United States,2002,64,161.9,332.8,80000,0,Power,POWER4,1300.0,IBM pSeries,AIX,MPP,Academic,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
410,Valencia Community College,Dell,Dell P4 Cluster 1.7 GHz - Ethernet,United States,2002,145,160.6,493.0,0,0,Intel IA-32,Intel IA-32 Pentium 4,1700.0,NOW - Intel Pentium,Linux,Cluster,Academic,Not Specified,Ethernet,Ethernet,North America,Americas
418,University of Minnesota/Supercomputing Institute,SGI,ORIGIN 3000 500 MHz,United States,2001,192,158.0,192.0,0,0,MIPS,MIPS R14000,500.0,SGI Origin,IRIX,MPP,Academic,Not Specified,NUMAflex,NUMAflex,North America,Americas
420,Seoul National University,IBM,SP Power3 375 MHz 16 way,"Korea, South",2000,144,156.0,216.0,0,0,Power,POWER3,375.0,IBM SP,AIX,MPP,Academic,Not Specified,SP Switch,SP Switch,Eastern Asia,Asia
422,"GSIC Center, Tokyo Institute of Technology",SGI,ORIGIN 2000 400 MHz,Japan,2000,256,152.2,204.8,163200,0,MIPS,MIPS R12000,400.0,SGI Origin,Linux,MPP,Academic,Not Specified,Crossbar,Hypercube,Eastern Asia,Asia
