Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
35,32.0,37,24,HECToR,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect",University of Edinburgh,Cray Inc.,United Kingdom,2011,Academic,90112,0,660243.0,829030.4,79.64,0,0,,,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment ,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Northern Europe,Europe
36,,40,36,MareNostrum,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Barcelona Supercomputing Center,IBM,Spain,2012,Academic,33664,0,636885.0,700211.0,90.96,0,0,699.26,910.8,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
43,37.0,35,19,Mole-8.5,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan",China,2011,Academic,29440,0,496500.0,1012650.0,49.03,768000,0,540.0,919.44,Cluster,Xeon X5520 4C 2.267GHz,Intel Nehalem,2267,Linux,Linux,NVIDIA 2050,4,Xeon 5500-series (Nehalem-EP),Mole-8.5 Cluster,Mole-8.5 Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
45,,40,45,,"Fujitsu PRIMERGY CX400, Xeon E5-2680 8C 2.700GHz, Infiniband FDR","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2012,Academic,23616,0,460300.0,510106.0,90.24,4161536,0,,,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5,Fujitsu PRIMERGY CX400,Fujitsu Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
50,40.0,32,7,Ranger,"SunBlade x6420, Opteron QC 2.3 Ghz, Infiniband",Texas Advanced Computing Center/Univ. of Texas,Sun Microsystems,United States,2008,Academic,62976,0,433200.0,579379.2,74.77,0,0,2000.0,216.6,Cluster,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,4,Opteron Quad Core,Sun Blade x6420,Sun Blade System,Infiniband,Infiniband,North America,Americas
51,41.0,39,41,HA-PACS,"Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Center for Computational Sciences, University of Tsukuba",Appro International / Cray Inc.,Japan,2012,Academic,20800,16640,421600.0,778128.0,54.18,1954559,0,407.29,1035.13,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,NVIDIA 2090,8,Intel Xeon E5,Xtream-X GreenBlade 8204,Appro Xtreme-X,Infiniband,Infiniband QDR,Eastern Asia,Asia
56,44.0,39,44,,"SGI Altix X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Norwegian University of Science and Technology,SGI,Norway,2012,Academic,22048,0,396700.0,458598.0,86.5,2203320,0,537.0,738.73,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,SUSE Linux Enterprise Server 11,Linux,None,8,Intel Xeon E5,SGI Altix X,SGI Altix,Infiniband,Infiniband FDR,Northern Europe,Europe
59,,40,59,MVS-10P,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi",Joint Supercomputer Center,RSC Group,Russia,2012,Academic,28704,25376,375700.0,523827.2,71.72,1180160,0,222.7,1687.02,Cluster,Xeon E5-2690 8C 2.900GHz,Intel SandyBridge,2900,Linux,Linux,Intel Xeon Phi,8,Intel Xeon E5,RSC Tornado,RSC Cluster,Infiniband,Infiniband FDR,Eastern Europe,Europe
68,,40,68,BGQ,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Southern Ontario Smart Computing Innovation Consortium/University of Toronto,IBM,Canada,2012,Academic,32768,0,345098.0,419430.4,82.28,0,0,164.38,2099.39,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
83,,40,83,Triolith,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR",National Supercomputer Centre (NSC),Hewlett-Packard,Sweden,2012,Academic,19136,0,303736.0,336794.0,90.18,2075136,0,380.0,799.31,Cluster,Xeon E5-2660 8C 2.200GHz,Intel SandyBridge,2200,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Northern Europe,Europe
84,59.0,37,22,LOEWE-CSC,"Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband",Universitaet Frankfurt,Clustervision/Supermicro,Germany,2011,Academic,16368,0,299300.0,508499.2,58.86,2095104,0,416.78,718.12,Cluster,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,ATI GPU,12,"Opteron 6100-series ""Magny-Cours"" ",SuperServer 2022TG-GIBQRF,Supermicro SuperServer,Infiniband,Infiniband QDR,Western Europe,Europe
88,62.0,38,48,Gordon,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",UCSD/San Diego Supercomputer Center,Appro International,United States,2011,Academic,16160,0,285800.0,336128.0,85.03,2558976,1279488,358.4,797.43,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,RHEL 6.2,Linux,None,8,Intel Xeon E5,Xtreme-X GreenBlade GB512X,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
96,67.0,37,28,Lonestar 4,"Dell PowerEdge M610 Cluster, Xeon 5680 3.3Ghz, Infiniband QDR",Texas Advanced Computing Center/Univ. of Texas,Dell,United States,2011,Academic,22656,0,251800.0,301777.0,83.44,2128224,0,,,Cluster,Xeon X5680 6C 3.330GHz,Intel Nehalem,3330,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),PowerEdge M610 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
97,73.0,39,73,Camphor,"Cray XE6, Opteron 16C 2.50GHz, Cray Gemini interconnect",Kyoto University,Cray Inc.,Japan,2012,Academic,30080,0,251700.0,300800.0,83.68,2009280,0,,,MPP,Opteron 16C 2.500GHz,AMD x86_64,2500,Cray Linux Environment ,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6,Cray XE,Cray Interconnect,Cray Gemini interconnect,Eastern Asia,Asia
100,70.0,39,70,,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Institute for Materials Research, Tohoku University (IMR)",Hitachi,Japan,2012,Academic,10240,0,243900.0,306388.9,79.6,1576960,0,556.3,438.43,Cluster,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Hitachi SR16000 Model M1,Hitachi SR16000,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
101,71.0,38,41,,"Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR",Calcul Canada/Calcul Québec/Université de Sherbrooke,SGI,Canada,2011,Academic,37728,0,240300.0,316915.2,75.82,2030280,0,,,Cluster,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",SGI Rackable C2112-4G3 Cluster,Rackable Cluster,Infiniband,Infiniband QDR,North America,Americas
104,75.0,35,18,Jade,"SGI ICE 8200EX, Xeon E5450 4C 3.000GHz, Infiniband",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),SGI,France,2010,Academic,23040,0,237800.0,267878.4,88.77,2487240,0,1064.0,223.5,MPP,Xeon E5450 4C 3.000GHz,Intel Core,3000,SLES10 + SGI ProPack 5,Linux,None,4,"Xeon 5400-series ""Harpertown""",SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
105,76.0,37,31,Lindgren,"Cray XE6, Opteron 12 Core 2.10 GHz, Custom",KTH - Royal Institute of Technology,Cray Inc.,Sweden,2011,Academic,36384,0,237200.0,305625.6,77.61,0,0,,,MPP,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
106,89.0,37,81,Zeus,"Cluster Platform SL390/BL2x220, Xeon X5650 6C 2.660GHz, Infiniband QDR, NVIDIA 2090",Cyfronet,Hewlett-Packard,Poland,2011,Academic,23932,3328,234304.0,357546.56,65.53,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390/BL2x220,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Europe,Europe
110,81.0,39,81,MOGON,"Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR",Universitaet Mainz,Megware,Germany,2012,Academic,33920,0,225617.0,284928.0,79.18,2830000,560000,467.0,483.12,Cluster,Opteron 6272 16C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Saxonid 6100,Megware Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
111,78.0,37,32,RWTH Compute Cluster (RCC),"Bullx B500 Cluster, Xeon X56xx 3.06Ghz, QDR Infiniband",Universitaet Aachen/RWTH,Bull SA,Germany,2011,Academic,25448,0,219838.0,270538.0,81.26,2145920,0,,,Cluster,Xeon X5675 6C 3.060GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Bullx B500 Cluster,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
118,,40,118,,"Cray Cascade, Xeon E5-2670 8C 2.600GHz, Aries interconnect ",CSC (Center for Scientific Computing),Cray Inc.,Finland,2012,Academic,11776,0,211785.0,244941.0,86.46,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Cray Linux Environment ,Linux,None,8,Intel Xeon E5,Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe
123,,40,123,Ada,"xSeries x3750 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR",CNRS/IDRIS-GENCI,IBM,France,2012,Academic,10624,0,191938.0,229478.0,83.64,0,0,243.69,787.63,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5,xSeries x3750 Cluster,IBM xSeries,Infiniband,Infiniband FDR,Western Europe,Europe
126,85.0,33,14,Shaheen,Blue Gene/P Solution,King Abdullah University of Science and Technology,IBM,Saudi Arabia,2009,Academic,65536,0,190900.0,222822.4,85.67,0,0,504.0,378.77,MPP,PowerPC 450 4C 850MHz,Power,850,CNK/SLES 9,Mixed,None,4,PowerPC 450,BlueGene/P,IBM BlueGene,Proprietary Network,Proprietary,Western Asia,Asia
129,88.0,38,54,Carter,"Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband",Purdue University,Hewlett-Packard,United States,2011,Academic,10368,0,186900.0,215654.4,86.67,1471712,0,252.0,741.67,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 SL6500,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
131,93.0,39,93,Darwin,"Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Cambridge University,Dell,United Kingdom,2012,Academic,9728,0,183379.0,202342.0,90.63,1975952,300000,975.0,188.08,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Dell PowerEdge C6220,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,Northern Europe,Europe
134,96.0,39,96,Abel,"MEGWARE MiriQuid, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",University of Oslo,Megware,Norway,2012,Academic,10080,0,178600.0,209664.0,85.18,2128896,0,227.0,786.78,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,MEGWARE MiriQuid,Megware Cluster,Infiniband,Infiniband FDR,Northern Europe,Europe
141,,40,141,CADMOS BG/Q,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Ecole Polytechnique Federale de Lausanne,IBM,Switzerland,2012,Academic,16384,0,172691.0,209715.0,82.35,1376255,0,82.19,2101.12,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
143,,40,143,,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",IBM,Poland,2012,Academic,16384,0,172691.0,209715.0,82.35,1376255,0,82.19,2101.12,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Europe,Europe
144,102.0,39,102,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Rensselaer Polytechnic Institute,IBM,United States,2012,Academic,16384,0,172691.0,209715.0,82.35,1376255,0,82.19,2101.12,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
145,103.0,39,103,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",University of Rochester,IBM,United States,2012,Academic,16384,0,172691.0,209715.0,82.35,1376255,0,82.19,2101.12,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
151,106.0,39,106,,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Research Institute for Information Technology, Kyushu University",Fujitsu,Japan,2012,Academic,12288,0,166700.0,181666.0,91.76,1623552,0,,,Cluster,SPARC64 IXfx 16C 1.848GHz,Sparc,1848,Linux,Linux,None,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia
154,110.0,36,42,,"SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz, Infiniband",University of Tokyo/Institute for Solid State Physics,SGI,Japan,2010,Academic,15360,0,161800.0,180019.2,89.88,2351496,0,719.0,225.03,MPP,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI ICE 8400EX,SGI Altix,Infiniband,Infiniband QDR,Eastern Asia,Asia
157,112.0,39,112,Hexagon,"Cray XE6m-200, Opteron 6276 16C 2.300GHz, Cray Gemini interconnect",University of Bergen,Cray Inc.,Norway,2012,Academic,22272,0,160100.0,204902.4,78.13,0,0,342.3,467.72,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment ,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6m-200,Cray XE,Cray Interconnect,Cray Gemini interconnect,Northern Europe,Europe
162,117.0,37,56,VSC-2,"Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR",Vienna Scientific Cluster,Megware,Austria,2011,Academic,20776,0,152900.0,182829.0,83.63,1994496,0,430.0,355.58,Cluster,Opteron 6132 HE 8C 2.200GHz,AMD x86_64,2200,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Saxonid 6100,Megware Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
163,118.0,39,118,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR",VSC / Flemish Supercomputer Center,Hewlett-Packard,Belgium,2012,Academic,8448,0,152347.9,175718.0,86.7,1503761,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Western Europe,Europe
164,119.0,35,31,MRI,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",University of Colorado,Dell,United States,2010,Academic,15648,0,152200.0,175257.6,86.84,1757600,0,,,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),PowerEdge C6100 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
166,120.0,37,63,HPC,"PowerEdge 1950/SunFire X2200/IBM dx340/dx360/HP SL160/DL165, Xeon/Opteron 2.3-2.67GHz, Myrinet 10G",University of Southern California,Dell/Sun/IBM,United States,2011,Academic,20925,0,149900.0,196465.0,76.3,0,0,,,Cluster,Xeon E5410 4C 2.333GHz,Intel Core,2333,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Dell/Sun/IBM Cluster,Myrinet,Myrinet 10G,North America,Americas
167,,40,167,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",CSC (Center for Scientific Computing),Hewlett-Packard,Finland,2012,Academic,8704,0,149396.0,181043.0,82.52,1267200,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,Northern Europe,Europe
170,,40,170,RSC Tornado SUSU,"RSC Tornado, Xeon X5680 6C 3.330GHz, Infiniband QDR, Intel Xeon Phi",South Ural State University,RSC Group,Russia,2012,Academic,14016,11712,146800.0,236705.0,62.02,695040,0,147.46,995.52,Cluster,Xeon X5680 6C 3.330GHz,Intel Nehalem,3330,Linux,Linux,Intel Xeon Phi,6,Xeon 5600-series (Westmere-EP),RSC Tornado,RSC Cluster,Infiniband,Infiniband QDR,Eastern Europe,Europe
179,125.0,37,55,Guillimin,"iDataPlex DX360M3, Xeon 2.66, Infiniband",CLUMEQ - McGill University,IBM,Canada,2010,Academic,14400,0,136300.0,153216.0,88.96,1532160,0,337.0,404.45,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
180,126.0,39,126,Laurel,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Kyoto University,Appro International,Japan,2012,Academic,9280,0,135400.0,193024.0,70.15,1474560,737280,210.35,643.69,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Appro Xtreme-X Supercomputer,Appro Xtreme-X,Infiniband,Infiniband FDR,Eastern Asia,Asia
187,130.0,39,130,Abisko,"Supermicro H8QG6, Opteron 6238 12C 2.600GHz, Infiniband QDR",HPC2N - Umea University,Supermicro,Sweden,2012,Academic,15456,0,131900.0,160742.0,82.06,2145024,338688,252.7,521.96,Cluster,Opteron 6238 12C 2.600GHz,AMD x86_64,2600,Linux,Linux,None,12,"Opteron 6200 Series ""Interlagos""",Supermicro H8QG6,Supermicro Cluster,Infiniband,Infiniband QDR,Northern Europe,Europe
192,134.0,39,134,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Durham University,IBM,United Kingdom,2012,Academic,6720,0,130180.56,139776.0,93.14,0,0,139.59,932.59,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
207,139.0,36,51,Vayu,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR",National Computational Infrastructure National Facility (NCI-NF),Oracle,Australia,2010,Academic,11936,0,126399.82,139889.92,90.36,0,0,,,Cluster,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,CentOS,Linux,None,4,Xeon 5500-series (Nehalem-EP),Sun Blade 6048,Sun Blade System,Infiniband,Infiniband,Australia and New Zealand,Oceania
208,140.0,36,54,,Cray XE6 12-core 2.1 GHz,University of Chicago,Cray Inc.,United States,2010,Academic,17856,0,125800.0,149990.0,83.87,0,0,,,MPP,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,North America,Americas
219,146.0,38,95,,"Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Information Initiative Center, Hokkaido University",Hitachi,Japan,2011,Academic,5632,0,121600.0,168906.8,71.99,1400000,0,354.6,342.92,Cluster,POWER7 8C 3.836GHz,Power,3836,AIX,Unix,None,8,POWER7,Hitachi SR16000 Model M1,Hitachi SR16000,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
221,147.0,38,96,HokieSpeed,"SuperServer  2026GT-TRF, Xeon E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2050",Virginia Tech,Supermicro,United States,2011,Academic,8320,5824,120400.0,238201.6,50.55,355520,0,126.27,953.51,Cluster,Xeon E5620 4C 2.400GHz,Intel Nehalem,2400,CentOS,Linux,NVIDIA 2050,4,Xeon 5600-series (Westmere-EP),SuperServer 2026GT-TRF,Supermicro SuperServer,Infiniband,Infiniband QDR,North America,Americas
