Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
376,234.0,37,395,,"iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR",Geoscience,IBM,United States,2011,Industry,9072,0,89670.0,101606.4,88.25,0,0,212.62,421.74,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
377,,40,377,,"Cluster Platform SL230s Gen8, Xeon E5-2667 6C 2.900GHz, Gigabit Ethernet",Software Company ,Hewlett-Packard,Taiwan,2012,Industry,7308,0,89585.2,169546.0,52.84,0,0,,,Cluster,Xeon E5-2667 6C 2.900GHz,Intel SandyBridge,2900,Linux,Linux,None,6,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
378,235.0,38,141,,"Cluster Platform 3000 BL460c G7, Xeon X5670 2.93 GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2011,Industry,14856,0,89369.0,174112.0,51.33,0,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
379,,40,379,,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Banking (M),IBM,United States,2012,Industry,15840,0,89259.0,160301.0,55.68,0,0,404.02,220.93,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
380,,40,380,,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Banking (M),IBM,United States,2012,Industry,15840,0,89259.0,160301.0,55.68,0,0,480.48,185.77,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
381,,40,381,,"Cluster Platform 4000 BL465c G7, Opteron 6176 12C 2.300GHz, Gigabit Ethernet",Semiconductor Company (M),Hewlett-Packard,United States,2012,Industry,19200,0,89132.5,176640.0,50.46,0,0,,,Cluster,Opteron 6176 12C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,12,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
382,237.0,36,208,,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet",Financial Institution (P),IBM,United Kingdom,2010,Industry,15744,0,88718.0,159329.28,55.68,0,0,497.76,178.23,Cluster,Xeon E5540 4C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
383,239.0,37,102,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband",Automotive,IBM,United States,2011,Industry,8568,0,88620.0,100416.96,88.25,0,0,240.41,368.62,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
384,238.0,37,101,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband",Automotive,IBM,United States,2011,Industry,8568,0,88620.0,100416.96,88.25,0,0,240.41,368.62,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
385,240.0,34,55,,"Cluster Platform 3000 BL460c G6, Xeon X5570 2.93 GHz, Infiniband",Manufacturing Company,Hewlett-Packard,France,2009,Industry,8576,0,88550.0,100510.7,88.1,0,0,,,Cluster,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Infiniband,Infinband DDR 4x,Western Europe,Europe
