Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID
43,38.0,52,38,Advanced Computing System(PreE),"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",Sugon,Sugon,China,2018,Vendor,163840,131072.0,4325.0,6134.1696,1876000.0,,,380.0,Submitted,11.382,Cluster,Hygon Dhyana 32C 2GHz,AMD x86_64,2000,CentOS,Linux,Deep Computing Processor,32,Hygon Dhyana,Sugon TC8600,Sugon Cluster,Gigabit Ethernet,200Gb 6D-Torus,Eastern Asia,Asia,50797,179593
44,39.0,39,48,Vulcan,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",DOE/NNSA/LLNL,IBM,United States,2012,Research,393216,,4293.306,5033.165,,,80.894,1972.0,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,49763,177732
46,,53,46,,"Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",Research Institute,HPE,Japan,2019,Research,70416,66560.0,4128.0,5783.808,1843200.0,,94.291,,,,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,Apollo 6500 XL270d Gen10,HP Apollo,Infiniband,Mellanox InfiniBand EDR,Eastern Asia,Asia,50810,179698
47,40.0,51,34,JOLIOT-CURIE SKL,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",CEA/TGCC-GENCI,Bull,France,2017,Research,79488,,4065.55,6635.52,5861568.0,,52.684,917.0,Submitted,4.434,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,bullx SCS,Linux,None,24,Xeon Platinum,Bull Sequana X1000,Bull Sequana,Infiniband,Mellanox InfiniBand EDR,Western Europe,Europe,50414,179411
48,41.0,45,12,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Petroleum Geo-Services,Cray Inc.,United States,2015,Industry,145920,,4042.46,5369.856,8338176.0,,,1800.0,Submitted,2.246,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,48602,178556
49,43.0,43,19,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2016,Research,126468,,3944.68,4249.325,7171008.0,,65.457,1897.02,Derived,2.079,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,47752,178431
50,42.0,47,18,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,Cray Inc.,United Kingdom,2016,Research,126468,,3944.68,4249.325,7171008.0,,65.457,1897.02,Derived,2.079,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Northern Europe,Europe,47752,178749
52,44.0,46,49,JURECA,"T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40",Forschungszentrum Juelich (FZJ),"T-Platforms, Intel, Dell",Germany,2015,Research,155150,4110.0,3782.57,6563.84,5321904.0,,68.343,1345.28,Submitted,2.812,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,NVIDIA Tesla K80,12,Intel Xeon E5 (Haswell),T-Platforms V-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband EDR,Western Europe,Europe,47871,178718
53,45.0,51,39,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Indian Institute of Tropical Meteorology,Cray Inc.,India,2018,Research,119232,,3763.94,4006.195,5935104.0,,,1353.23,Submitted,2.781,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia,50296,179416
54,,53,54,,"Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",SAKURA Internet Inc. / Prunus Solutions Inc.,HPE,Japan,2019,Industry,65208,61440.0,3712.0,5365.0944,1769472.0,,87.12,,,,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,2700,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,Apollo 6500 XL270d Gen10,HP Apollo,Infiniband,Mellanox InfiniBand EDR,Eastern Asia,Asia,50809,179696
