Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
72,57.0,52,11,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,288288,253440.0,18200.0,23047.2,5059584.0,,,,,,,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,Red Hat Enterprise Linux,Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,49763,179567
73,58.0,57,24,Guru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korea Meteorological Administration,Lenovo,South Korea,2021,Government,306432,,18002.8,25495.14,8239104.0,,,3296.0,Submitted,5.462014563,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,2600,Linux,Linux,None,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,50890,179912
74,59.0,58,28,Maru,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",Korea Meteorological Administration,Lenovo,South Korea,2021,Government,306432,,18002.8,25495.14,8239104.0,,,3296.0,Submitted,5.462014563,,Cluster,Xeon Platinum 8368Q 38C 2.6GHz,Intel Ice Lake,2600,Linux,Linux,None,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Asia,50890,180023
75,60.0,53,11,PANGEA III,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",Total Exploration Production,IBM,France,2019,Industry,291024,270720.0,17860.0,25025.81,5760000.0,,,1367.0,Submitted,13.06510607,,Cluster,IBM POWER9 18C 3.45GHz,Power,3450,RHEL 7.6,Linux,NVIDIA Volta GV100,18,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,Europe,49546,179689
80,64.0,56,19,TOKI-SORA,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",Japan Aerospace eXploration Agency,Fujitsu,Japan,2020,Research,276480,,16592.0,19464.2,4208640.0,,614.224,,,,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,2200,Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,50187,179895
81,65.0,57,29,Pioneer-WUS2,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Microsoft Azure,Microsoft Azure,United States,2021,Others,157440,141696.0,16590.0,24557.23,2621376.0,,455.5562,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Zen-2 (Rome),NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,50889,179967
82,66.0,57,28,Pioneer-WEU,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Microsoft Azure,Microsoft Azure,Netherlands,2021,Vendor,157440,141696.0,16590.0,24557.23,2621376.0,,455.5562,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Zen-2 (Rome),NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,Europe,50868,179968
83,67.0,57,26,Pioneer-EUS,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Microsoft Azure,Microsoft Azure,United States,2020,Vendor,157440,141696.0,16590.0,24557.23,2621376.0,,455.5562,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Zen-2 (Rome),NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,50871,179969
84,68.0,57,27,Pioneer-SCUS,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",Microsoft Azure,Microsoft Azure,United States,2021,Vendor,157440,141696.0,16590.0,24557.23,2621376.0,,455.5562,,,,,Cluster,AMD EPYC 7V12 48C 2.45GHz,AMD Zen-2 (Rome),2450,Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,AMD Zen-2 (Rome),NDv4 cluster,Microsoft Azure Cluster,Infiniband,Infiniband HDR,North America,50870,179970
86,69.0,58,36,Galushkin,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",Yandex,"YANDEX, NVIDIA",Russia,2021,Industry,134912,117504.0,16020.0,20636.1,3321216.0,,,,,,,Cluster,AMD EPYC 7702 64C 2GHz,AMD Zen-2 (Rome),2000,Ubuntu 16.04,Linux,NVIDIA Tesla A100 80G,64,AMD Zen-2 (Rome),YANDEX Y4N-GA1-TY25-ZB0,YANDEX Cluster,Infiniband,Infiniband,Europe,50862,180037
