Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
45,University of Colorado,Dell,"PowerEdge C6100 Cluster, Xeon X5660 2.8 Ghz, Infiniband",United States,2010,15648,152200.0,175258.0,1757600,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
51,National Computational Infrastructure National Facility (NCI-NF),Oracle,"Sun Blade x6048, Xeon X5570 2.93 Ghz, Infiniband QDR",Australia,2010,11936,126400.0,139890.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Sun Blade System,Sun Blade 6048,CentOS,Cluster,Academic,Research,Infiniband,Infiniband,Australia and New Zealand,Oceania
52,National Institute for Computational Sciences/University of Tennessee,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,United States,2008,17956,125128.0,165195.0,1367871,0,888.82,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,North America,Americas
55,IDRIS,IBM,Blue Gene/P Solution,France,2008,40960,119310.0,139264.0,0,0,315.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Not Specified,Proprietary,Proprietary,Western Europe,Europe
62,Joint Supercomputer Center,Hewlett-Packard,"Cluster Platform 3000 BL460c/BL2x220, Xeon 54xx 3 Ghz, Infiniband",Russia,2009,11680,107448.0,140160.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c/BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe
63,HLRN at Universitaet Hannover / RRZN,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100.0,120730.0,1535480,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
64,HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",Germany,2009,10240,107100.0,120730.0,1535480,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
68,"Computer Network Information Center, Chinese Academy of Science",Lenovo,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband",China,2008,12216,102800.0,145965.0,1600000,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Lenovo Cluster,Lenovo DeepComp 7000,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
70,"Information Technology Center, The University of Tokyo",Hitachi,Hitachi opteron QC 2.3 GHz Myrinet 10G,Japan,2009,15104,101741.0,138956.0,1740800,0,831.5,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Hitachi Cluster,Hitachi Cluster,Linux,Cluster,Academic,Research,Myrinet,Myrinet 10G,Eastern Asia,Asia
77,University of Edinburgh,Cray Inc.,"Cray XT4, 2.3 GHz",United Kingdom,2009,12288,95080.0,113050.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4,UNICOS/lc,MPP,Academic,Research,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
79,University of Southern California,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2010,13000,94220.0,119600.0,1459200,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,CentOS,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
82,University of Alaska - Arctic Region Supercomputing Center,Cray Inc.,Cray XE6 8-core 2.3 GHz,United States,2010,11648,88920.0,107162.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 8 Core,2300,8,Cray XE,Cray XE6,Linux,MPP,Academic,Not Specified,Custom,Custom,North America,Americas
84,Cyfronet,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L56xx 2.26 Ghz, Infiniband",Poland,2010,9840,88050.7,104698.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon L56xx (Westmere-EP),2260,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
87,iVEC,Hewlett-Packard,"HP Pod BL2x220, X5660 2.8 Ghz, Infiniband QDR",Australia,2010,9600,87198.7,107520.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,Australia and New Zealand,Oceania
88,"GSIC Center, Tokyo Institute of Technology",NEC/Sun,"Sun Fire x4600/x6250, Opteron 2.4/2.6 GHz, Xeon E5440 2.833 GHz, ClearSpeed CSX600, nVidia GT200; Voltaire Infiniband",Japan,2009,31024,87010.0,163188.0,1059839,0,1103.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2400,2,Sun Fire - Cluster,Fire x4600 Cluster,SuSE Linux Enterprise Server 9,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
89,"University of Cologne, Regional Computing Centre",Bull SA,"Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz, Infiniband",Germany,2010,9376,85900.0,100171.0,1446480,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Bull Bullx,Bullx Blade/Supernode,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,Western Europe,Europe
90,Clemson University,Dell/Sun/IBM,"PowerEdge 1950/SunFire X2200/iDataPlex/IBM dx340  Intel 53xx/54xx 2.33Ghz, Opteron 2.3 Ghz, E5410 2.33GHz Myrinet 10G",United States,2010,11408,85040.0,104594.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2333,4,Dell/Sun/IBM Cluster,PowerEdge 1950/SunFire X2200/iDataPlex Cluster,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet 10G,North America,Americas
95,CINECA,IBM,"Power 575, p6 4.7 GHz, Infiniband",Italy,2009,5376,78680.0,101069.0,907199,0,859.19,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Southern Europe,Europe
96,"Center for Computational Sciences, University of Tsukuba",Appro International,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Japan,2009,10368,77280.0,95385.0,1562400,0,671.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Appro XtremeServer,Appro XtremeServers,Redhat Linux,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Asia,Asia
97,CLUMEQ - Université Laval,Oracle,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Canada,2009,7616,77170.0,85299.0,1160376,0,332.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
99,CSC (Center for Scientific Computing),Cray Inc.,Cray XT5/XT4 QC 2.3 GHz,Finland,2009,10864,76510.0,101997.0,0,0,520.8,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT5 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
101,KTH - Royal Institute of Technology,Cray Inc.,Cray XT6m 12-Core 2.1 GHz,Sweden,2010,11016,75120.0,92534.4,1306392,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,Cray XT,Cray XT6m,Linux,MPP,Academic,Research,Custom,Custom,Northern Europe,Europe
103,University of Minnesota/Supercomputing Institute,Hewlett-Packard,"Cluster Platform 3000 BL280c G6, Xeon X55xx 2.8Ghz, Infiniband",United States,2009,8448,74390.0,94617.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL280c G6,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
106,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations",IBM,eServer Blue Gene Solution,United States,2007,32768,73032.0,91750.0,884735,0,358.4,Power,PowerPC 440,700,2,IBM BlueGene,BlueGene/L,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,North America,Americas
109,NCSA,Dell,"PowerEdge 1955, 2.33 GHz, Infiniband, Windows Server 2008/Red Hat Enterprise Linux 4",United States,2007,9600,68480.0,89587.2,1008384,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,Dell PowerEdge Cluster,PowerEdge 1955,Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband SDR,North America,Americas
110,Texas Tech University,Dell,"Poweredge Cluster, Xeon X5660 2.8Ghz, Infiniband DDR",United States,2010,7524,68270.0,84538.0,1270976,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,Dell PowerEdge Cluster,PowerEdge R410 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
111,UCSD/San Diego Supercomputer Center,Appro International,"Appro 1U-1143H Cluster, Opteron 8C 2.4Ghz, Infiniband QDR",United States,2010,10112,67320.0,99532.8,1200000,0,0.0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,Appro Cluster,Appro Opteron Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,North America,Americas
112,University of Southampton,IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband, Windows HPC2008 R2",United Kingdom,2009,8000,66680.0,72320.0,1610000,0,222.62,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM Cluster,xSeries iDataPlex,Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
116,NACAD/COPPE/UFRJ,Oracle,"Sun Blade x6048, Xeon X5560 2.8 Ghz, Infiniband QDR",Brazil,2009,6464,64630.0,72396.8,1405152,0,430.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade 6048,Linux,Cluster,Academic,Research,Infiniband,Infiniband,South America,Americas
118,Barcelona Supercomputing Center,IBM,"BladeCenter JS21 Cluster, PPC 970, 2.3 GHz, Myrinet",Spain,2006,10240,63830.0,94208.0,0,0,0.0,Power,PowerPC 970,2300,2,IBM Cluster,BladeCenter JS21 CLuster,SuSE Linux Enterprise Server 9,Cluster,Academic,Medicine,Myrinet,Myrinet,Southern Europe,Europe
123,KTH - Royal Institute of Technology,Dell,"PowerEdge SC1435 Dual core Opteron 2.2 GHz, Infiniband",Sweden,2010,9800,61760.0,86024.4,1450624,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2200,2,Dell PowerEdge Cluster,PowerEdge SC1435,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
126,Purdue University,Hewlett-Packard,"HP Cluster Platform 4000 DL165 G7 Cluster, Opteron 12-core 2.1 Ghz, 10G",United States,2010,8856,60256.2,74390.4,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2100,12,HP Cluster Platform 4000,HP Cluster Platform 4000 DL165 G7 Cluster,Linux,Cluster,Academic,Research,Gigabit Ethernet,10G Ethernet,North America,Americas
130,Universitaet Erlangen,NEC,"NEC LX-2400 Cluster, Xeon X5550 2.66 Ghz, Infiniband",Germany,2010,5880,56730.0,62563.0,0,0,160.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,NEC Cluster,NEC LX-2400,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
132,Leibniz Rechenzentrum,SGI,Altix 4700 1.6 GHz,Germany,2007,9728,56520.0,62259.2,1583232,0,990.24,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,SGI Altix,SGI Altix 4700,SUSE Linux Enterprise Server 10,MPP,Academic,Not Specified,NUMAlink,NUMAlink,Western Europe,Europe
138,"University of Tokyo/Human Genome Center, IMS",Oracle,"SunBlade x6250, Xeon E5450 3GHz, Infiniband",Japan,2009,5760,54210.0,69120.0,786712,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,Sun Blade System,Sun Blade x6250,Linux,Cluster,Academic,Medicine,Infiniband,Infiniband DDR,Eastern Asia,Asia
143,IDRIS,IBM,"Power 575, p6 4.7 GHz, Infiniband",France,2008,3584,52810.0,67379.2,0,0,572.79,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
147,Purdue University,Hewlett-Packard,"Cluster Platform 3000 DL165, Opteron 2.5 GHz, 10GigE",United States,2010,7944,52192.1,79440.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,HP Cluster Platform 3000,HP DL165 Cluster,Linux,Cluster,Academic,Research,Gigabit Ethernet,10G Ethernet,North America,Americas
148,ETH Zuerich,Oracle,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR",Switzerland,2009,6464,51880.0,64640.0,1032192,0,152.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,Sun Blade System,Sun Blade x6440,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
156,SARA (Stichting Academisch Rekencentrum),IBM,"Power 575, p6 4.7 GHz, Infiniband",Netherlands,2009,3456,50923.9,64972.8,0,0,552.0,Power,POWER6,4700,2,IBM pSeries,pSeries 575,Linux,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
158,Kyoto University,Fujitsu,"Fujitsu Cluster HX600, Opteron Quad Core, 2.3 GHz, Infiniband",Japan,2008,6656,50510.0,61235.0,1223040,215000,0.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Fujitsu Cluster,Fujitsu Cluster,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Asia,Asia
162,University of Zuerich,Oracle,"Sun Blade x6275, Xeon X55xx 2.8 Ghz, Infiniband QDR",Switzerland,2009,4600,49590.0,51520.0,1127280,0,218.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,Sun Blade System,Sun Blade x6275,SUSE Linux Enterprise Server 10,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
173,Ecole Polytechnique Federale de Lausanne,IBM,Blue Gene/P Solution,Switzerland,2009,16384,47725.0,55706.0,933887,0,126.0,Power,PowerPC 450,850,4,IBM BlueGene,BlueGene/P,CNK/SLES 9,MPP,Academic,Research,Proprietary,Proprietary,Western Europe,Europe
178,"University of British Columbia - Cancer Center, Genome Science Center",IBM,"iDataPlex, Xeon X56xx 6C 2.66 GHz, Infiniband",Canada,2010,5040,47325.7,53625.6,0,0,118.13,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,IBM Cluster,xSeries iDataPlex,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
179,Moscow State University - Research Computing Center,SKIF/T-Platforms,"T-Platforms T60, Intel Quadcore 3Ghz, Infiniband DDR",Russia,2008,5000,47170.0,60000.0,750000,0,265.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,T-Platforms Cluster,T-Platforms T60 Cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
180,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform 3000 DL140 Cluster, Xeon 53xx 2.33GHz Infiniband",Sweden,2008,6440,47030.0,60020.8,1158000,200000,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,HP Cluster Platform 3000,Cluster Platform 3000 DL140,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
183,Texas Advanced Computing Center/Univ. of Texas,Dell,"PowerEdge 1955, 2.66 GHz, Infiniband",United States,2007,5848,46730.0,62220.0,1187200,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,2,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
189,HPC2N - Umea University,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, IB, Windows HPC 2008/CentOS",Sweden,2008,5376,46040.0,53760.0,1113600,150000,173.21,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,IBM Cluster,"BladeCenter HS21 Cluster, HT Xeon quad core",Windows HPC 2008,Cluster,Academic,Not Specified,Infiniband,Infiniband,Northern Europe,Europe
191,Ohio Supercomputer Center,IBM,"xSeries x3455 Cluster Opteron, DC 2.6 GHz/QC 2.5 GHz, Infiniband",United States,2009,9304,45730.0,73072.0,1200000,0,637.0,AMD x86_64,AMD x86_64 Opteron Quad Core,2500,4,IBM Cluster,xSeries x3455 Cluster Opteron,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
208,Universitaet Regensburg,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500.0,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe
209,Universitaet Wuppertal,IBM,"QPACE SFB TR Cluster, PowerXCell 8i, 3.2 GHz, 3D-Torus",Germany,2009,4608,44500.0,55705.6,487551,0,57.54,Power,PowerXCell 8i,3200,9,IBM Cluster,QPACE Cluster PowerXCell 8i,Linux,Cluster,Academic,Not Specified,Custom,Custom,Western Europe,Europe
253,University of Bergen,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Norway,2008,5550,40590.0,51060.0,0,0,274.73,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe
259,University of Kentucky,Dell,"PowerEdge C6100 Cluster, Xeon X5650 2.66 Ghz, Infiniband",United States,2010,4428,40310.0,47114.0,1100000,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Dell PowerEdge Cluster,PowerEdge C6100 Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband QDR,North America,Americas
279,National Astronomical Observatory of Japan,Self-made,"GRAPE-DR accelerator Cluster, Infiniband",Japan,2010,6400,38850.0,81920.0,409600,0,45.05,Others,Others GRAPE-DR processor,400,16,NOW - mixed processors,GRAPE-DR cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
297,"Gdansk University of Technology, CI Task",ACTION,ACTION Cluster Xeon E5345 Infiniband,Poland,2008,5336,38170.0,49731.0,760000,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,ACTION Cluster,ACTION Cluster,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,Eastern Europe,Europe
313,PCSS Poznan,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E5530 2.4 Ghz, Infiniband QDR",Poland,2010,4616,37179.1,44313.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
315,Compute Canada/WestGrid/Manitoba,SGI,"Rackable(tm) C2112-4TY14 Cluster, Xeon X5650 2.66 GHz 6-core,  Infiniband",Canada,2010,3792,37050.0,40346.9,1236480,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Rackable Cluster,Rackable(tm) C2112-4TY14 Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
349,HHMI - Janelia Farm Research Campus,Dell,"Dell Poweredge R610, Xeon X5550 2.66 Ghz, 10G Ethernet",United States,2010,4000,35810.0,42560.0,1200000,325000,320.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,Dell PowerEdge Cluster,PowerEdge R610 Cluster,Linux,Cluster,Academic,Medicine,Gigabit Ethernet,10G Ethernet,North America,Americas
354,Technische Universitaet Wien,Oracle,"Sun Blade x2270, Xeon X5550 2.66 Ghz, Infiniband QDR",Austria,2009,3650,35480.0,38836.0,0,0,178.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,Sun Blade System,Sun Blade X2270,Cell OS,Cluster,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
371,Louisiana Optical Network Initiative,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,5440,34780.0,50766.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,4,Dell PowerEdge Cluster,PowerEdge 1950,RedHat Enterprise 4,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
372,Wroclaw Centre for Networking and Supercomputing,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L56xx 2.66 Ghz, Infiniband",Poland,2010,3840,34729.0,40857.6,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Europe,Europe
377,Laboratory for Systems Biology and Medicine/RCAST. The University of Tokyo,Fujitsu,"PRIMERGY BX922 S2, Xeon X5650 2.66GHz, Infiniband QDR",Japan,2010,3552,34670.0,37793.0,1273608,0,113.41,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,Fujitsu Cluster,Fujitsu Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Asia,Asia
383,National Astronomical Observatory of Japan,Self-made,"GRAPE-DR accelerator Cluster, Infiniband",Japan,2010,5184,34550.0,66360.0,442368,0,29.37,Others,Others GRAPE-DR processor,400,16,NOW - mixed processors,GRAPE-DR cluster,CentOS,Cluster,Academic,Research,Infiniband,Infiniband,Eastern Asia,Asia
386,National Supercomputer Centre (NSC),Hewlett-Packard,"Cluster Platform SL170z, Xeon E5520 2.26 Ghz, Infiniband",Sweden,2010,4128,34280.0,37317.1,1450000,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,HP Cluster Platform 3000SL,Cluster Platform SL170z,Linux,Cluster,Academic,Research,Infiniband,Infiniband,Northern Europe,Europe
