Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,System Family,System Model,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
237,University of Arizona,SGI,"SGI Altix ICE 8200, Xeon quad core 2.83 GHz",United States,2008,1392,13480.0,15757.0,571872,0,67.07,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Not Specified,Infiniband,Infiniband DDR,North America,Americas
252,Siberian National University,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",Russia,2007,1808,13057.0,16872.3,0,0,72.66,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Europe,Europe
261,HPCx,IBM,eServer pSeries p5 575 1.5 GHz,United Kingdom,2006,2560,12940.0,15360.0,600000,0,0.0,Power,POWER5,1500,IBM pSeries,pSeries 575,AIX,MPP,Academic,Not Specified,SP Switch,Federation,Northern Europe,Europe
263,University of Kentucky,IBM,"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband",United States,2007,1360,12832.0,16320.0,0,0,129.69,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,IBM Cluster,"BladeCenter HS21 Cluster, Xeon dual core",Linux,Cluster,Academic,Research,Infiniband,Infiniband,North America,Americas
265,Scientific Supercomputing Center Karlsruhe,Transtec AG,Transtec Xeon Cluster,Germany,2007,1616,12640.0,17194.0,575000,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,Transtec Cluster,Transtec Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe
273,Brigham Young University,Dell,"PowerEdge 1955, 2.66 GHz, GigEthernet",United States,2006,2520,12510.0,26812.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,Dell PowerEdge Cluster,PowerEdge 1955,RedHat Enterprise 4,Cluster,Academic,Research,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
277,Universitaet Dortmund,Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 2.66GHz, GigEthernet",Germany,2008,2048,12372.2,21848.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,Cluster,Academic,Research,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
280,Virginia Tech,Self-made,1100 Dual 2.3 GHz Apple XServe/Mellanox Infiniband 4X/Cisco GigE,United States,2004,2200,12250.0,20240.0,620000,0,0.0,Power,PowerPC 970,2300,NOW  - PowerPC,XServe Cluster,MacOS X,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
282,South Ural State University,T-Platforms,"T16 Cluster, Intel E54xx 3Mhz, Infiniband DDR",Russia,2008,1328,12200.0,15936.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,T-Platforms Cluster,T-Platforms T16 Cluster,SUSE Linux Enterprise Server 10,Cluster,Academic,Research,Infiniband,Infinband DDR 4x,Eastern Europe,Europe
283,Arizona State University High Performance Computing  Center,Dell,"PowerEdge 1955, Quad Core 2.66 GHz, Infiniband",United States,2007,1760,12100.0,18360.0,617760,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2667,Dell PowerEdge Cluster,PowerEdge 1955,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
289,Technische Universitaet Dresden,SGI,Altix 4700 1.6 GHz,Germany,2006,2048,12072.0,13107.2,655872,0,0.0,Intel IA-64,Intel IA-64 Itanium 2 Dual Core,1600,SGI Altix,SGI Altix 4700,SUSE Linux Enterprise Server 10,MPP,Academic,Research,NUMAlink,NUMAlink,Western Europe,Europe
297,Scientific Supercomputing Center Karlsruhe,Hewlett-Packard,Cluster Platform 4000 DL145 Opteron Dual Core 2.6 GHz Infiniband,Germany,2006,3000,11856.0,15600.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,HP Cluster Platform 4000,HP Cluster Platform 4000 DL145 Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
315,SARA (Stichting Academisch Rekencentrum),IBM,"eServer pSeries 575, p5+ 1.9 GHz, Infiniband",Netherlands,2007,1920,11490.0,14592.0,576000,0,0.0,Power,POWER5+,1900,IBM pSeries,pSeries 575,Linux,MPP,Academic,Research,Infiniband,Infiniband,Western Europe,Europe
318,Wroclaw Centre for Networking and Supercomputing,ACTION,ACTION Xeon QC X3220/E5345 Infiniband,Poland,2008,1696,11340.0,15990.0,570000,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,ACTION Cluster,ACTION Cluster,Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband DDR,Eastern Europe,Europe
319,Exeter University,SGI,"SGI Altix ICE 8200, Xeon quad core 2.83 GHz",United Kingdom,2008,1152,11210.0,13041.0,521640,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,SGI Altix,SGI Altix ICE 8200,SLES10 + SGI ProPack 5,MPP,Academic,Research,Infiniband,Infiniband DDR,Northern Europe,Europe
333,Technische Universitaet Dresden,Linux Networx,"Opteron dual core 2.6 GHz, Infiniband",Germany,2007,2576,10880.0,13395.0,742560,109200,0.0,AMD x86_64,AMD x86_64 Opteron Dual Core,2600,Linux Networx Evolocity,Evolocity II (E2) - Opteron,SUSE Linux Enterprise Server 10,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
335,Kyushu University,Fujitsu,"Fujitsu Primequest, Itanium2 Dual Core 1.6 Ghz, Infiniband",Japan,2008,2048,10850.0,13107.0,580000,100000,0.0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,Fujitsu PRIMEQUEST,Primequest 580,Redhat Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia
339,University of Arkansas,Dell,"PowerEdge 1950, 2.66 GHz, Infiniband",United States,2008,1240,10750.0,13364.0,5133360,256680,73.37,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,Research,Infiniband,Infiniband DDR,North America,Americas
340,Stanford University High Performance Computing Center,Dell,"PowerEdge 1950, 2.33 GHz, Infiniband",United States,2007,1600,10700.0,14912.0,423339,0,0.0,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,Dell PowerEdge Cluster,PowerEdge 1950,Linux,Cluster,Academic,CFD,Infiniband,Infiniband DDR,North America,Americas
344,Louisiana State University,Dell,"PowerEdge 1955, 2.66 GHz, Infiniband",United States,2007,1440,10601.6,15361.9,396000,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,Dell PowerEdge Cluster,PowerEdge 1955,RedHat Enterprise 4,Cluster,Academic,Not Specified,Infiniband,Infiniband,North America,Americas
357,"Center for Computational Sciences, University of Tsukuba",Hitachi/Fujitsu,"PACS-CS, low voltage Xeon 2.8 GHz,  3D Hyper-Crossbar",Japan,2006,2560,10350.0,14336.0,706560,0,545.0,Intel IA-32,Intel IA-32 Low Voltage Pentium Xeon,2800,Hitachi/Fujitsu Cluster,Hitachi/Fujitsu Cluster,Linux,Cluster,Academic,Not Specified,Crossbar,Hyper crossbar,Eastern Asia,Asia
369,Imperial College ICT HPC,Dell,"PowerEdge 1955, 2.66 GHz, Gigabit/10G Infiniband",United Kingdom,2006,1680,10100.0,17922.2,0,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),2667,Dell PowerEdge Cluster,PowerEdge 1955,Redhat Linux,Cluster,Academic,Research,Mixed,GigabitEthernet/10Gig Infiniband,Northern Europe,Europe
390,NCSA,Dell,"PowerEdge 1750, P4 Xeon 3.06 GHz, Myrinet",United States,2003,2500,9819.0,15300.0,630000,0,0.0,Intel IA-32,Intel IA-32 Pentium 4 Xeon,3060,Dell PowerEdge Cluster,PowerEdge 1750,Linux,Cluster,Academic,Not Specified,Myrinet,Myrinet,North America,Americas
395,University Health Network - University of Toronto,IBM,"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",Canada,2008,1344,9693.28,12542.2,0,0,54.02,Intel EM64T,Intel EM64T Xeon 53xx (Clovertown),2333,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Medicine,Infiniband,Infiniband,North America,Americas
402,Universitaet Freiburg,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Germany,2008,1120,9591.67,12678.4,0,0,45.01,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
403,Universitaet Heidelberg,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Germany,2008,1120,9591.67,12678.4,0,0,45.01,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
404,Universitaet Karlsruhe,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",Germany,2008,1120,9591.67,12678.4,0,0,45.01,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,IBM Cluster,"BladeCenter HS21 Cluster, Xeon quad core",Linux,Cluster,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe
