Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
235,University of Hong Kong,IBM,SP2/32,Hong Kong,1995,32,5.8,8.512,18000,4500,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,Eastern Asia,Asia
240,Osaka University,NEC,SX-3/14R,Japan,1993,1,5.8,6.4,2816,282,NEC,NEC,400.0,NEC Vector,Super-UX,Single Processor,Academic,Not Specified,,,Eastern Asia,Asia
242,University Groningen,Cray Inc.,Y-MP J932/32-4096,Netherlands,1996,32,5.8,6.4,10000,550,Cray,Cray,100.0,Cray Vector,UNICOS,SMP,Academic,Not Specified,,,Western Europe,Europe
243,Universitaet Mainz,Hewlett-Packard,SPP1200/XA-48,Germany,1995,48,5.744,11.52,34000,0,PA-RISC,PA-RISC PA-7200,120.0,HP Superdome,SPP-UX,MPP,Academic,Not Specified,Proprietary,Ring,Western Europe,Europe
253,North Carolina Supercomputing Center (NCSC),Cray Inc.,T916/4256,United States,1995,4,5.735,7.2,0,0,Cray,Cray,450.5,Cray Vector,UNICOS,SMP,Academic,Not Specified,,,North America,Americas
256,University of California at Berkeley,Thinking Machines Corporation,CM-5/96,United States,1994,96,5.7,12.29,0,0,Sparc,SuperSPARC I,32.0,TMC CM5,CMOST,MPP,Academic,Not Specified,Fat Tree,"Hypercube, tree",North America,Americas
257,University Jaume I,SGI,POWER CHALLENGEarray,Spain,1995,24,5.65,8.64,0,0,MIPS,MIPS R8000,90.0,SGI PowerChallenge,IRIX,Constellations,Academic,Not Specified,,,Southern Europe,Europe
258,University of Minnesota/Supercomputing Institute,SGI,POWER CHALLENGEarray,United States,1995,24,5.65,8.64,0,0,MIPS,MIPS R8000,90.0,SGI PowerChallenge,IRIX,Constellations,Academic,Not Specified,,,North America,Americas
261,IFP (Institute Francais du Petrole),Fujitsu,VPP500/4,France,1995,4,5.6,6.4,7344,1250,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Geophysics,Crossbar,Full distributed crossbar,Western Europe,Europe
262,Technische Universitaet Darmstadt,Fujitsu,VPP500/4,Germany,1994,4,5.6,6.4,7344,1250,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
263,Toritsu Kagaku Gijutsu University,Fujitsu,VPP500/4,Japan,1993,4,5.6,6.4,7344,1250,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Eastern Asia,Asia
265,Universitaet Aachen/RWTH,Fujitsu,VPP500/4,Germany,1993,4,5.6,6.4,7344,1250,Fujitsu,Fujitsu,100.0,Fujitsu VPP,UXP/V,MPP,Academic,Not Specified,Crossbar,Full distributed crossbar,Western Europe,Europe
268,Columbia University,IBM,SP2/30,United States,1995,30,5.45,7.98,0,0,Power,POWER2,66.5,IBM SP,AIX,MPP,Academic,Not Specified,,,North America,Americas
